Mauchamps,1
Mennecy,0
Milly-la-Forêt,1
Montgeron,0
Morigny-Champigny,1
Morsang-sur-Orge,0
Morsang-sur-Seine,0
Ollainville,0
Ormoy,0
Orsay,0
Palaiseau,0
Quincy-sous-Sénart,0
Ris-Orangis,0
Saint-Chéron,0
Saint-Germain-lès-Corbeil,0
Saint-Hilaire,1
Saint-Maurice-Montcouronne,1
Saint-Pierre-du-Perray,0
Saintry-sur-Seine,0
Saint-Vrain,1
Saint-Yon,0
Savigny-sur-Orge,0
Sermaise,0
Soisy-sur-Ecole,1
Soisy-sur-Seine,0
Val-Saint-Germain (Le),1
Vayres-sur-Essonne,0
Vert-le-Grand,1
Videlles,2
Vigneux-sur-Seine,0
Villebon-sur-Yvette,0
Villeconin,1
Villiers-le-Bâcle,1
Villiers-sur-Orge,0
Viry-Châtillon,0
Yerres.,0
"
DÉPARTEMENT DES HAUTS-DE-SEINE",0
"
Commune de Rueil-Malmaison.",0
"
DÉPARTEMENT DE LA SEINE-SAINT-DENIS",0
"
Communes d'Ile-Saint-Denis (L')",0
Saint-Denis.,0
"
DÉPARTEMENT DU VAL-DE-MARNE",0
"
Communes d'Ablon-sur-Seine",0
Champigny-sur-Marne,0
Chennevières-sur-Marne,0
Choisy-le-Roi,0
Ivry-sur-Seine,0
Ormesson-sur-Marne,0
Santeny,0
Sucy-en-Brie,0
Villeneuve-le-Roi,0
Villeneuve-Saint-Georges,0
Vitry-sur-Seine.,0
